mcc,category_rus
3517,"Отели, мотели, курорты"
3180,"Авиалинии, авиакомпании"
3709,"Отели, мотели, курорты"
3409,Агентства по аренде автомобилей
3505,"Отели, мотели, курорты"
5533,Автозапчасти и аксессуары
5311,Универмаги
4722,Туристические агентства и организаторы экскурсий
8351,Дошкольные заведения
6537,Денежные переводы MasterCard MoneySend - между странами
3720,"Отели, мотели, курорты"
5641,"Детская одежда, включая одежду для самых маленьких"
7032,Рекреационные и спортивные лагеря
5963,"Продажа ""от двери до двери"""
7531,Станции технического обслуживания для автомобильного транспорта
5975,"Слуховые аппараты ? продажа, сервис, снабжение"
3562,"Отели, мотели, курорты"
3584,"Отели, мотели, курорты"
3538,"Отели, мотели, курорты"
5942,Книжные магазины
7011,Отели и мотели - нигде более не классифицированные
7392,"Услуги по консультированию, управлению и связям с общественностью"
3136,"Авиалинии, авиакомпании"
3082,"Авиалинии, авиакомпании"
3543,"Отели, мотели, курорты"
3545,"Отели, мотели, курорты"
3748,"Отели, мотели, курорты"
3099,"Авиалинии, авиакомпании"
3665,"Отели, мотели, курорты"
3506,"Отели, мотели, курорты"
3780,"Отели, мотели, курорты"
3832,"Отели, мотели, курорты"
3676,"Отели, мотели, курорты"
5651,Одежда для всей семьи
5944,"Часы, ювелирные и серебряные изделия"
5599,"Продажа различного рода автомобилей, авиа- и с/х оборудования - нигде более не классифицированные"
5045,"Компьютеры, периферийное компьютерное оборудование, программное обеспечение"
3596,"Отели, мотели, курорты"
3700,"Отели, мотели, курорты"
3635,"Отели, мотели, курорты"
3400,Агентства по аренде автомобилей
3608,"Отели, мотели, курорты"
5912,Аптеки
5655,"Спортивная одежда, одежда для верховой езды и езды на мотоцикле"
6010,Финансовые учреждения ? снятие наличности вручную
3011,"Авиалинии, авиакомпании"
5949,"Магазины ткани, ниток, рукоделия, шитья"
8241,Дистанционные школы
3010,"Авиалинии, авиакомпании"
3515,"Отели, мотели, курорты"
5698,Парики и накладки из искусственных волос
3025,"Авиалинии, авиакомпании"
3592,"Отели, мотели, курорты"
3513,"Отели, мотели, курорты"
3016,"Авиалинии, авиакомпании"
3387,Агентства по аренде автомобилей
3030,"Авиалинии, авиакомпании"
3728,"Отели, мотели, курорты"
5719,Различные специализированные магазины бытовых принадлежностей
4112,Пассажирские железнодорожные перевозки
5021,Офисная и торговая мебель
5972,Магазины монет и марок (филателические и нумизматические)
4119,Услуги скорой помощи
1771,Подрядчики бетонных работ
3017,"Авиалинии, авиакомпании"
3175,"Авиалинии, авиакомпании"
3828,"Отели, мотели, курорты"
